Original Tags,After 3 levenstein op,after 1 fingerprint op
ifcwebserver.org,ifcwebserver.org,ifcwebserver.org
Ratio,Ratio,Ratio
SQL,SQL,SQL
Knowledge,Knowledge,Knowledge
Natural,Natural,Natural
Rule,Rule,Rule
Semantic,Semantic,Semantic
building,building,building
AIM,AIM,AIM
Asset,Asset,Asset
CMIS,CMIS,CMIS
COBie,COBie,COBie
IDM,IDM,IDM
Code,Code,Code
IndoorGML,IndoorGML,IndoorGML
innovation,innovation,innovation
compliance,Compliance,Compliance
validation,Validation,Validation
Behavior-Driven,Behavior-Driven,Behavior-Driven
Continuous,Continuous,Continuous
Gherkin,Gherkin,Gherkin
Test-Driven,Test-Driven,Test-Driven
Utilities,Utilities,Utilities
BACS,BACS,BACS
ISO,ISO,ISO
rule,rule,Rule
Long,Long,Long
neural,neural,neural
Bidirectional,Bidirectional,Bidirectional
Blockchain,Blockchain,Blockchain
Hyperledger,Hyperledger,Hyperledger
Construction,Construction,Construction
Regulatory,Regulatory,Regulatory
Rule,Rule,Rule
Semantics,Semantic,Semantic
Semantics,Semantic,Semantic
BIM,BIM,BIM
Domain,Domain,Domain
BIM,BIM,BIM
HVAC,HVAC,HVAC
open,open,Open
renovation,renovation,renovation
Semantic,Semantic,Semantic
Constraint,Constraint,Constraint
Dutch,Dutch,Dutch
mvdXML,MVDXML,MVDXML
Norwegian,Norwegian,Norwegian
Validation,Validation,Validation
BMS,BMS,BMS
Building,building,building
Data,Data,Data
hybrid,hybrid,hybrid
Relational,Relational,Relational
Time-series,Time-series,Time-series
automated,Automated,Automated
BERA,BERA,BERA
building,building,building
Indoor,Indoor,Indoor
NDBC,NDBC,NDBC
Numeric,Numeric,Numeric
rule-checking,rule-checking,rule-checking
Performance,Performance,Performance
CORENET,CORENET,CORENET
ePlanCheck,ePlanCheck,ePlanCheck
EXPRESS,EXPRESS,EXPRESS
IFC-OWL,ifcOWL,ifcOWL
ifcOWL,ifcOWL,ifcOWL
OWL,OWL,OWL
rule,rule,Rule
Petri,Petri,Petri
temporal,temporal,temporal
IfcDoc,IfcDoc,IfcDoc
Deep,Deep,Deep
Machine,Machine,Machine
Natural,Natural,Natural
Semantic,Semantic,Semantic
Building,building,building
Italy,Italy,Italy
Germany,Germany,Germany
Evacuation,Evacuation,Evacuation
High-rise,High-rise,High-rise
Open,Open,Open
Quality,Quality,Quality
3D,3D,3D
Energy,Energy,Energy
Laser,Laser,Laser
BERA,BERA,BERA
Building,building,building
construction,Construction,Construction
linked,Linked,Linked
location,location,location
BS/EN,BS/EN,BS/EN
Lifecycle,Lifecycle,Lifecycle
Stages,Stages,Stages
Explanation,Explanation,Explanation
Proof,Proof,Proof
Bauantrag,Bauantrag,Bauantrag
PSD,PSD,PSD
XBau,XBau,XBau
XPlanung,XPlanung,XPlanung
classification,classification,classification
Nordic,Nordic,Nordic
rail,rail,rail
road,road,road
CG,CG,CG
Conceptual,Conceptual,Conceptual
Information,Information,Information
Pattern-matching,Pattern-matching,Pattern-matching
Utility,Utility,Utility
Construction,Construction,Construction
CQIEOntology,CQIEOntology,CQIEOntology
Regulation,Regulation,Regulation
LicA,LicA,LicA
Water,Water,Water
Benchmark,Benchmark,Benchmark
Data,Data,Data
SPARQL,SPARQL,SPARQL
SPARQL-generate,SPARQL-generate,SPARQL-generate
SimModel,SimModel,SimModel
SPARQL,SPARQL,SPARQL
assembly,assembly,assembly
manufacturing,manufacturing,manufacturing
building,building,building
comparison,comparison,comparison
lessons,lessons,lessons
graph,graph,graph
path,path,path
visualization,visualization,visualization
Agents,Agents,Agents
air,air,air
as-designed/as-built,as-designed/as-built,as-designed/as-built
building,building,building
building,building,building
comfort,comfort,comfort
construction,Construction,Construction
Contexts,Context,Context
dica,dica,dica
dicbm,dicbm,dicbm
dicc,dicc,dicc
dice,dice,dice
dices,dices,dices
dici,dici,dici
dicl,dicl,dicl
diclvl,diclvl,diclvl
dicob,dicob,dicob
dicp,dicp,dicp
dicstg,dicstg,dicstg
dicu,dicu,dicu
dicv,dicv,dicv
Energy,Energy,Energy
Energy,Energy,Energy
Entities,Entities,Entities
FIBO,FIBO,FIBO
FOAF,FOAF,FOAF
Geo,Geo,Geo
HOAI,HOAI,HOAI
ICDD,ICDD,ICDD
IFCowl,ifcOWL,ifcOWL
Information,Information,Information
information,Information,Information
ISO,ISO,ISO
ISO,ISO,ISO
ISO,ISO,ISO
ISO,ISO,ISO
Levels,Levels,Levels
LOD,LOD,LOD
material,Materials,Materials
Materials,Materials,Materials
occupant,occupant,occupant
OPM,OPM,OPM
Org,Org,Org
OWL-Time,OWL-Time,OWL-Time
planned/actual,planned/actual,planned/actual
Processes,Processes,Processes
PROV-O,PROV-O,PROV-O
QUDT,QUDT,QUDT
RIBA,RIBA,RIBA
safety,Safety,Safety
SAREF,SAREF,SAREF
SAREF4BLDG,SAREF4BLDG,SAREF4BLDG
SOSA,SOSA,SOSA
SSN,SSN,SSN
Units,Units,Units
UoM,UoM,UoM
Variables,Variables,Variables
WGS84,WGS84,WGS84
FSGIM,FSGIM,FSGIM
NIST,NIST,NIST
ontology,ontology,ontology
OpenADR,OpenADR,OpenADR
Geographic,Geographic,Geographic
QL4BIM,QL4BIM,QL4BIM
Query,Query,Query
Runtime,Runtime,Runtime
SmartCodes,SmartCodes,SmartCodes
BIMSeek,BIMSeek,BIMSeek
Industry,Industry,Industry
Information,Information,Information
Local,Local,Local
Query,Query,Query
search,search,search
terminology,terminology,terminology
Bossam,Bossam,Bossam
EYE,EYE,EYE
Jess,Jess,JESS
N3Logic,N3Logic,N3Logic
RETE,RETE,RETE
SPIN,SPIN,SPIN
SPIN,SPIN,SPIN
STL,STL,STL
SWRLJessBridge,SWRLJessBridge,SWRLJessBridge
X3D,X3D,X3D
change,change,change
deltas,deltas,deltas
distributed,distributed,distributed
update,update,update
